Encuesta de Consumos Energéticos
Principales resultados
Consumos energéticos por comunidad autónoma y producto consumido.
Unidades: miles de euros

,Electricidad,Gas,Gasóleo,Fueloil,Otros productos petrolíferos,Carbón y derivados,Carbón y coque,Biocombustibles,Calor y otros consumos energéticos,Otros consumos energéticos,Total consumos energéticos,
2013,
    Andalucía,574811.0,344394.0,77224.0,60481.0,44970.0,..,23487.0,11212.0,71187.0,..,1207766.0,
2011,
    Andalucía,556087.0,307917.0,100313.0,58072.0,52586.0,26225.0,..,..,..,107477.0,1208677.0,
2009,
    Andalucía,518515.0,236496.0,106574.0,38602.0,35054.0,23230.0,..,..,..,59019.0,1017490.0,
Notas:
1) '..'= no se proporciona información de esa desagregación para ese periodo
 '.'= dato protegido por secreto estadístico
Fuente: Instituto Nacional de Estadística
