,CO,FECHA-HORA,NO2,O3,PART,SO2
57,468,09/02/17-09:30,62,21,10,10
58,375,09/02/17-09:40,55,25,12,9
59,424,09/02/17-09:50,50,33,10,8
60,379,09/02/17-10:00,55,31,12,10
61,490,09/02/17-10:10,57,32,19,10
62,436,09/02/17-10:20,56,36,17,11
63,379,09/02/17-10:30,54,34,16,9
64,459,09/02/17-10:40,65,26,16,10
65,500,09/02/17-10:50,78,27,16,11
66,500,09/02/17-11:00,75,27,18,12
67,471,09/02/17-11:10,78,31,18,8
68,465,09/02/17-11:20,75,33,19,7
69,375,09/02/17-11:30,64,44,20,7
70,375,09/02/17-11:40,54,51,21,7
71,375,09/02/17-11:50,61,46,22,10
72,375,09/02/17-12:00,64,47,24,8
73,375,09/02/17-12:10,62,51,23,9
74,375,09/02/17-12:20,76,49,23,21
75,360,09/02/17-12:30,68,59,20,18
76, ,09/02/17-12:40,52,69,16,14
77, ,09/02/17-12:50,60,63,16,11
78, ,09/02/17-13:00,71,65,21,10
79, ,09/02/17-13:10,79,65,21,11
80, ,09/02/17-13:20, ,65,25,10
81,350,09/02/17-13:30, ,63,30,12
82,350,09/02/17-13:40, ,66,30,12
83,350,09/02/17-13:50,85, ,32,10
84,350,09/02/17-14:00,89, ,34, 
85,346,09/02/17-14:10,83, ,35, 
86,350,09/02/17-14:20,45,64,37, 
87,350,09/02/17-14:30,48,60,39, 
88,361,09/02/17-14:40,54,56,43, 
89,374,09/02/17-14:50,60,53,38,10
90,350,09/02/17-15:00,62,52,33,10
91,350,09/02/17-15:10,69,45,30,13
92,313,09/02/17-15:20,72,43,26,16
93,388,09/02/17-15:30,84,33,27,19
94,267,09/02/17-15:40,74,45,27,21
95,233,09/02/17-15:50,60,57,24,14
96,233,09/02/17-16:00,57,52,29,16
97,233,09/02/17-16:10,66,43,30,20
98,233,09/02/17-16:20,75,45,40,22
99,331,09/02/17-16:30,105,15,35,45
100,269,09/02/17-16:40,106,14,33,46
101,301,09/02/17-16:50,107,15,37,42
102,350,09/02/17-17:00,106,15,39,36
103,350,09/02/17-17:10,103,20,40,31
104,350,09/02/17-17:20,102,20,34,30
105,369,09/02/17-17:30,96,25,29,22
106,350,09/02/17-17:40,85,31,24,18
107,350,09/02/17-17:50,90,23,27,25
108,350,09/02/17-18:00,87,31,30,24
109,372,09/02/17-18:10,81,36,40,18
110,528,09/02/17-18:20,102,20,48,14
111,728,09/02/17-18:30,124,9,50,14
112,776,09/02/17-18:40,118,8,53,14
113,831,09/02/17-18:50,116,7,50,13
114,714,09/02/17-19:00,111,6,39,17
115,656,09/02/17-19:10,107,6,39,20
