,CO,FECHA-HORA,NO2,O3,PART,SO2
98,117,12/02/17-16:20,9,79,5,1
99,117,12/02/17-16:30,10,78,5,1
100,118,12/02/17-16:40,10,76,4,3
101,117,12/02/17-16:50,11,76,4,1
102,117,12/02/17-17:00,11,74,4,1
103,158,12/02/17-17:10,16,68,5,1
104,229,12/02/17-17:20,27,56,6,6
105,171,12/02/17-17:30,26,59,5,3
106,180,12/02/17-17:40,21,65,4,3
107,117,12/02/17-17:50,15,72,2,2
108,152,12/02/17-18:00,21,63,4,5
109,117,12/02/17-18:10,23,65,3,5
110,138,12/02/17-18:20,21,61,4,6
111,216,12/02/17-18:30,30,57,5,7
112,184,12/02/17-18:40,24,61,4,6
113,233,12/02/17-18:50,31,50,7,7
114,233,12/02/17-19:00,39,47,9,8
115,233,12/02/17-19:10,40,43,10,8
116,199,12/02/17-19:20,41,48,8,6
117,233,12/02/17-19:30,34,48,8,5
118,233,12/02/17-19:40,31,51,5,5
119,207,12/02/17-19:50,37,46,5,5
120,208,12/02/17-20:00,29,57,4,5
121,223,12/02/17-20:10,30,55,5,7
122,176,12/02/17-20:20,28,58,3,6
123,151,12/02/17-20:30,26,61,3,4
124,129,12/02/17-20:40,19,63,3,4
125,181,12/02/17-20:50,21,58,4,5
126,233,12/02/17-21:00,38,41,8,6
127,233,12/02/17-21:10,44,37,9,3
128,263,12/02/17-21:20,54,32,12,1
129,233,12/02/17-21:30,40,39,13,0
130,233,12/02/17-21:40,36,46,13,0
131,233,12/02/17-21:50,25,55,10,0
132,268,12/02/17-22:00,32,38,12,0
133,350,12/02/17-22:10,51,29,12,3
134,291,12/02/17-22:20,46,37,12,4
135,205,12/02/17-22:30,33,52,14,4
136,166,12/02/17-22:40,26,53,14,4
137,165,12/02/17-22:50,20,54,11,3
138,117,12/02/17-23:00,16,67,9,1
139,117,12/02/17-23:10,10,69,11,1
140,117,12/02/17-23:20,11,65,17,3
141,253,12/02/17-23:30,34,34,16,5
142,203,12/02/17-23:40,34,47,20,7
143,233,12/02/17-23:50,40,33,19,10
144,233,13/02/17-00:00,37,38,17,11
1,231,13/02/17-00:10,24,47,18,11
2,228,13/02/17-00:20,22,47,20,10
3,194,13/02/17-00:30,25,42,22,12
4,150,13/02/17-00:40,34,34,25,13
5,117,13/02/17-00:50,26,54,15,11
6,117,13/02/17-01:00,11,60,14,8
7,117,13/02/17-01:10,10,60,17,9
8,117,13/02/17-01:20,10,57,20,9
9,117,13/02/17-01:30,17,54,27,8
10,117,13/02/17-01:40,12,60,25,10
11,117,13/02/17-01:50,9,59,21,9
12,117,13/02/17-02:00,7,69,12,8
13,117,13/02/17-02:10,5,78,5,6
14,117,13/02/17-02:20,5,78,6,5
15,117,13/02/17-02:30,5,82,5,7
16,117,13/02/17-02:40,5,91,2,4
17,117,13/02/17-02:50,4,94,1,5
18,117,13/02/17-03:00,4,94,1,5
19,117,13/02/17-03:10,4,93,1,6
20,117,13/02/17-03:20,3,91,1,6
21,117,13/02/17-03:30,3,90,2,5
22,117,13/02/17-03:40,3,89,2,6
23,117,13/02/17-03:50,3,89,3,6
24,117,13/02/17-04:00,3,88,3,6
25,117,13/02/17-04:10,2,89,3,6
26,117,13/02/17-04:20,3,87,4,6
27,117,13/02/17-04:30,3,86,4,8
28,117,13/02/17-04:40,3,88,5,7
29,117,13/02/17-04:50,3,90,5,9
30,117,13/02/17-05:00,3,91,6,8
31,117,13/02/17-05:10,4,93,5,10
32,117,13/02/17-05:20,5,93,5,6
33,117,13/02/17-05:30,5,92,5,8
34,117,13/02/17-05:40,7,90,5,7
35,117,13/02/17-05:50,8,93,4,6
36,117,13/02/17-06:00,6,97,3,5
37,117,13/02/17-06:10,5,99,2,6
38,117,13/02/17-06:20,6,97,3,4
39,118,13/02/17-06:30,8,96,3,3
40,117,13/02/17-06:40,10,91,3,3
41,117,13/02/17-06:50,10,95,4,2
42,117,13/02/17-07:00,15,86,6,4
43,117,13/02/17-07:10,23,81,6,2
44,205,13/02/17-07:20,23,79,6,2
45,297,13/02/17-07:30,36,65,6,3
46,233,13/02/17-07:40,66,41,8,2
47,233,13/02/17-07:50,63,45,6,4
48,233,13/02/17-08:00,63,48,5,2
49,256,13/02/17-08:10,64,43,5,1
50,277,13/02/17-08:20,69,43,5,1
51,233,13/02/17-08:30,53,59,5,3
52,185,13/02/17-08:40,36,71,3,2
53,166,13/02/17-08:50,29,76,2,4
54,233,13/02/17-09:00,34,69,5,2
55,232,13/02/17-09:10,38,71,3,3
56,233,13/02/17-09:20,36,68,3,2
57,244,13/02/17-09:30,55,47,6,4
58,243,13/02/17-09:40,56,61,5,5
59,233,13/02/17-09:50,46,63,3,3
60,269,13/02/17-10:00,45,63,22,3
61,233,13/02/17-10:10,40,69,5,4
62,262,13/02/17-10:20,38,71,10,4
63,188,13/02/17-10:30,33,69,3,5
64,158,13/02/17-10:40,32,69,4,4
65,220,13/02/17-10:50,39,62,4,4
66,135,13/02/17-11:00,39,67,5,4
67,183,13/02/17-11:10,28,72,4,4
68,118,13/02/17-11:20,26,76,3,5
69,155,13/02/17-11:30,22,81,2,3
70,140,13/02/17-11:40,26,75,4,3
71,187,13/02/17-11:50,32,69,5,2
72,163,13/02/17-12:00,26,82,7,4
73,191,13/02/17-12:10,19,84,2,4
74,117,13/02/17-12:20,17,87,2,5
75,117,13/02/17-12:30,18,90,3,5
76,117,13/02/17-12:40,16,88,3,8
77,123,13/02/17-12:50,17,88,3,7
78,162,13/02/17-13:00,24,86,4,6
79,153,13/02/17-13:10,21,84,4,6
80,170,13/02/17-13:20,25,83,4,5
81,129,13/02/17-13:30,23,85,4,6
82,231,13/02/17-13:40,28,77,5,6
83,233,13/02/17-13:50,35,70,6,7
84,254,13/02/17-14:00,63,34,6,10
85,226,13/02/17-14:10,75,41,6,15
86,189,13/02/17-14:20,52,64,5,11
87,179,13/02/17-14:30,31,76,4,8
88,140,13/02/17-14:40,40,65,5,11
89,228,13/02/17-14:50,36,75,5,7
90,141,13/02/17-15:00,21,84,5,8
91,196,13/02/17-15:10,19,83,5,7
92,146,13/02/17-15:20,16,88,4,7
93,160,13/02/17-15:30,16,86,4,6
94,161,13/02/17-15:40,19,84,5,5
95,149,13/02/17-15:50,17,86,7,6
96,169,13/02/17-16:00,20,81,5,5
97,208,13/02/17-16:10,24,78,5,5
98,233,13/02/17-16:20,25,78,7,5
99,187,13/02/17-16:30,22,82,6,5
100,185,13/02/17-16:40,16,83,7,5
101,233,13/02/17-16:50,26,75,8,5
102,233,13/02/17-17:00,32,73,7,6
103,185,13/02/17-17:10,20,85,7,7
104,188,13/02/17-17:20,20,79,8,5
105,165,13/02/17-17:30,25,76,9,5
106,233,13/02/17-17:40,40,65,8,7
107,233,13/02/17-17:50,42,61,12,5
108,228,13/02/17-18:00,30,70,12,4
109,233,13/02/17-18:10,29,70,11,4
110,233,13/02/17-18:20,40,57,12,4
111,233,13/02/17-18:30,49,49,16,3
112,233,13/02/17-18:40,53,48,13,4
113,233,13/02/17-18:50,44,59,12,4
114,233,13/02/17-19:00,41,55,12,3
115,233,13/02/17-19:10,49,51,14,4
116,233,13/02/17-19:20,44,59,12,3
117,233,13/02/17-19:30,37,57,14,3
118,233,13/02/17-19:40,36,64,12,2
119,264,13/02/17-19:50,44,47,13,1
120,299,13/02/17-20:00,59,52,13,1
121,238,13/02/17-20:10,30,65,12,1
122,363,13/02/17-20:20,62,39,16,3
123,313,13/02/17-20:30,61,44,16,3
124,292,13/02/17-20:40,57,36,17,2
125,370,13/02/17-20:50,79,20,18,2
126,549,13/02/17-21:00,95,7,25,3
127,540,13/02/17-21:10,95,6,25,3
128,646,13/02/17-21:20,95,6,33,1
129,520,13/02/17-21:30,90,6,29,2
130,595,13/02/17-21:40,92,6,29,2
131,645,13/02/17-21:50,88,6,36,2
132,611,13/02/17-22:00,86,6,34,2
133,508,13/02/17-22:10,86,6,32,4
134,483,13/02/17-22:20,79,13,29,2
135,364,13/02/17-22:30,77,18,25,2
136,417,13/02/17-22:40,77,14,25,0
137,367,13/02/17-22:50,60,24,26,0
138,458,13/02/17-23:00,61,20,27,0
139,415,13/02/17-23:10,61,22,26,0
140,350,13/02/17-23:20,46,36,23,0
141,350,13/02/17-23:30,46,30,24,0
142,366,13/02/17-23:40,46,26,24,0
143,342,13/02/17-23:50,42,32,21,0
144,324,14/02/17-00:00,36,36,19,0
1,256,14/02/17-00:10,30,41,19, 
2,267,14/02/17-00:20,25,43,20, 
3,264,14/02/17-00:30,24,41,22, 
4,280,14/02/17-00:40,24,42,21, 
5,233,14/02/17-00:50,19,47,16, 
6,233,14/02/17-01:00,20,44,16, 
7,233,14/02/17-01:10,19,44,16, 
8,233,14/02/17-01:20,18,47,14, 
9,233,14/02/17-01:30,15,46,13, 
10,233,14/02/17-01:40,15,46,13, 
11,233,14/02/17-01:50,15,47,12, 
12,233,14/02/17-02:00,12,51,12, 
13,233,14/02/17-02:10,11,50,11, 
14,194,14/02/17-02:20,11,53,10, 
15,224,14/02/17-02:30,11,53,9, 
16,146,14/02/17-02:40,10,54,9, 
17,126,14/02/17-02:50,10,54,9, 
18,140,14/02/17-03:00,12,51,9, 
19,175,14/02/17-03:10,14,47,9, 
20,140,14/02/17-03:20,14,47,9, 
21,171,14/02/17-03:30,14,47,10, 
22,181,14/02/17-03:40,14,49,9, 
23,147,14/02/17-03:50,12,48,8, 
24,179,14/02/17-04:00,13,48,9, 
25,157,14/02/17-04:10,13,49,8, 
26,117,14/02/17-04:20,10,48,8, 
27,123,14/02/17-04:30,10,49,8, 
28,146,14/02/17-04:40,10,50,8, 
29,186,14/02/17-04:50,9,49,7, 
30,167,14/02/17-05:00,9,49,7, 
31,133,14/02/17-05:10,11,51,7, 
32,167,14/02/17-05:20,9,49,6, 
33,164,14/02/17-05:30,8,51,6, 
34,152,14/02/17-05:40,8,52,6, 
35,135,14/02/17-05:50,8,53,5, 
36,123,14/02/17-06:00,9,53,6, 
37,144,14/02/17-06:10,9,52,6, 
38,117,14/02/17-06:20,9,52,6, 
39,117,14/02/17-06:30,10,51,6, 
40,206,14/02/17-06:40,25,27,13, 
41,293,14/02/17-06:50,49,10,15, 
42,424,14/02/17-07:00,62,6,19, 
43,272,14/02/17-07:10,60,7,16, 
44,261,14/02/17-07:20,37,30,9, 
45,233,14/02/17-07:30,32,32,6, 
46,233,14/02/17-07:40,52,15,8, 
47,277,14/02/17-07:50,54,13,10, 
48,465,14/02/17-08:00,78,6,23, 
49,491,14/02/17-08:10,80,6,29, 
50,518,14/02/17-08:20,78,6,30, 
51,405,14/02/17-08:30,67,6,29, 
52,467,14/02/17-08:40,67,7,30, 
53,582,14/02/17-08:50,79,7,32, 
54,712,14/02/17-09:00,81,8,31, 
55,444,14/02/17-09:10,69,15,16, 
56,350,14/02/17-09:20,58,20,12, 
57,359,14/02/17-09:30,57,24,10, 
58,299,14/02/17-10:00,46,29,9,0
59,262,14/02/17-10:10,43,31,9,1
60,474,14/02/17-10:20,72,17,24,3
61,550,14/02/17-10:30,85,15,31,3
62,508,14/02/17-10:40,79,19,30,2
63,571,14/02/17-10:50,79,19,31,3
64,573,14/02/17-11:00,78,20,39,2
65,600,14/02/17-11:10,81,19,39,4
66,583,14/02/17-11:20,81,20,37,2
67,583,14/02/17-11:30,81,18,38,2
68,583,14/02/17-11:40,89,14,44,3
69,519,14/02/17-11:50,93,11,46,3
70,350,14/02/17-12:00,83,12,44,5
71,350,14/02/17-12:10,83,12,42,8
72,350,14/02/17-12:20,84,13,41,9
73,350,14/02/17-12:30,82,14,40,11
74,350,14/02/17-12:40,79,13,42,10
75,350,14/02/17-12:50,77,18,40,12
76,350,14/02/17-13:00,69,23,38,8
77,347,14/02/17-13:10,59,30,36,6
78,263,14/02/17-13:20,56,26,38,6
79,350,14/02/17-13:30,62,25,40,9
80,350,14/02/17-13:40,59,29,41,7
81,350,14/02/17-13:50,57,34,40,4
82,347,14/02/17-14:00,53,37,39,2
83,342,14/02/17-14:10,56,36,39,2
84,412,14/02/17-14:20,62,30,45,3
85,468,14/02/17-14:30,75,30,68,2
86,410,14/02/17-14:40,68,35,63,2
87,350,14/02/17-14:50,62,38,58,5
88,350,14/02/17-15:00,66,33,50,9
89,331,14/02/17-15:10,64,34,43,9
90,233,14/02/17-15:20,70,25,36,13
91,281,14/02/17-15:30,73,26,33,14
92,254,14/02/17-15:40,76,26,30,13
93,233,14/02/17-15:50,70,26,28,10
94,254,14/02/17-16:00,72,22,27,13
95,253,14/02/17-16:10,80,18,26,14
96,233,14/02/17-16:20,76,22,24,13
97,261,14/02/17-16:30,79,17,22,14
98,233,14/02/17-16:40,70,35,18,12
99,233,14/02/17-16:50,62,31,18,9
100,243,14/02/17-17:00,68,36,18,10
101,233,14/02/17-17:10,69,29,17,12
102,292,14/02/17-17:20,74,30,23,12
103,237,14/02/17-17:30,65,38,31,12
104,235,14/02/17-17:40,62,40,27,9
105,243,14/02/17-17:50,57,45,27,11
106,233,14/02/17-18:00,55,50,17,6
107,233,14/02/17-18:10,51,51,13,8
108,233,14/02/17-18:20,50,49,11,8
109,233,14/02/17-18:30,64,34,13,9
110,376,14/02/17-18:40,75,23,18,9
111,451,14/02/17-18:50,85,19,18,7
112,461,14/02/17-19:00,92,11,22,7
113,580,14/02/17-19:10,104,7,25,6
114,808,14/02/17-19:20,109,6,34,5
115,707,14/02/17-19:30,101,6,31,5
116,632,14/02/17-19:40,94,6,26,5
117,529,14/02/17-19:50,89,7,27,5
118,583,14/02/17-20:00,89,5,31,5
119,583,14/02/17-20:10,88,7,30,4
120,569,14/02/17-20:20,85,7,30,5
121,456,14/02/17-20:30,82,8,26,3
122,490,14/02/17-20:40,80,6,26,3
123,455,14/02/17-20:50,80,7,27,2
124,362,14/02/17-21:00,72,13,25,2
125,350,14/02/17-21:10,65,14,21,1
126,350,14/02/17-21:20,63,16,19,1
127,354,14/02/17-21:30,64,18,17,2
128,350,14/02/17-21:40,59,24,15,2
129,452,14/02/17-21:50,51,29,14,1
130,350,14/02/17-22:00,49,29,14,1
131,350,14/02/17-22:10,49,29,15,0
132,271,14/02/17-22:20,43,39,14,1
133,267,14/02/17-22:30,36,39,13,0
134,316,14/02/17-22:40,51,24,13,1
135,318,14/02/17-22:50,46,35,12,1
136,233,14/02/17-23:00,31,44,11,1
137,233,14/02/17-23:10,27,46,11,1
138,251,14/02/17-23:20,35,38,11,0
139,233,14/02/17-23:30,31,46,10,0
140,233,14/02/17-23:40,29,42,10,0
141,235,14/02/17-23:50,38,36,12,0
142,238,15/02/17-00:00,30,45,10,0
1,233,15/02/17-00:10,23,49,10,0
2,233,15/02/17-00:20,16,56,9,0
3,233,15/02/17-00:30,16,53,9,0
4,233,15/02/17-00:40,17,52,9,0
5,233,15/02/17-00:50,17,53,9,0
6,233,15/02/17-01:00,14,56,8,0
7,233,15/02/17-01:10,13,57,8,1
8,233,15/02/17-01:20,16,55,8,2
9,233,15/02/17-01:30,13,58,7,1
10,233,15/02/17-01:40,15,57,8,1
11,233,15/02/17-01:50,17,56,8,2
12,233,15/02/17-02:00,14,59,8,2
13,298,15/02/17-02:10,25,47,8,1
14,342,15/02/17-02:20,28,43,9,2
15,346,15/02/17-02:30,38,29,12,1
16,327,15/02/17-02:40,42,27,13,2
17,530,15/02/17-02:50,56,8,27,2
18,484,15/02/17-03:00,62,7,29,3
19,467,15/02/17-03:10,61,6,30,3
20,497,15/02/17-03:20,62,7,29,3
21,467,15/02/17-03:30,63,5,28,4
22,467,15/02/17-03:40,64,6,27,2
23,467,15/02/17-03:50,63,6,27,0
24,467,15/02/17-04:00,64,6,27,0
25,467,15/02/17-04:10,64,6,27,0
26,467,15/02/17-04:20,66,7,26,0
27,445,15/02/17-04:30,67,7,28,0
28,396,15/02/17-04:40,66,7,26,4
29,350,15/02/17-04:50,58,12,24,9
30,350,15/02/17-05:00,56,12,25,8
31,324,15/02/17-05:10,51,15,25,9
32,268,15/02/17-05:20,52,16,24,9
33,348,15/02/17-05:30,51,16,25,9
34,326,15/02/17-05:40,49,18,24,10
35,349,15/02/17-05:50,49,17,23,10
36,343,15/02/17-06:00,52,13,25,11
37,350,15/02/17-06:10,56,10,25,11
38,350,15/02/17-06:20,57,11,25,10
39,350,15/02/17-06:30,53,13,23,13
40,350,15/02/17-06:40,55,8,26,13
41,350,15/02/17-06:50,61,7,29,13
42,403,15/02/17-07:00,61,6,32,13
43,382,15/02/17-07:10,65,12,25,12
44,395,15/02/17-07:20,66,6,23,13
45,413,15/02/17-07:30,64,11,16,14
46,258,15/02/17-07:40,42,44, ,15
47,256,15/02/17-07:50,39,39, ,14
48,592,15/02/17-08:00,87,18,15,14
49,886,15/02/17-08:10,111,6,28,17
50,848,15/02/17-08:20,108,6,27,14
51,807,15/02/17-08:30,98,7,22,15
52,817,15/02/17-08:40,97,6,29,16
53,835,15/02/17-08:50,104,7,31,18
54,858,15/02/17-09:00,103,7,33,19
55,1035,15/02/17-09:10,115,7,36,19
56,1186,15/02/17-09:20,129,7,37,21
57,766,15/02/17-09:30,108,10,32,20
58,529,15/02/17-09:40,85,12,27,19
59,531,15/02/17-09:50,87,13,28,20
60,480,15/02/17-10:00,86,15,27,20
61,467,15/02/17-10:10,89,15,27,22
62,490,15/02/17-10:20,80,20,25,20
63,467,15/02/17-10:30,79,20,25,20
64,624,15/02/17-10:40,87,16,30,20
65,551,15/02/17-10:50,93,19,30,19
66,539,15/02/17-11:00,88,20,31,20
67,478,15/02/17-11:10,90,19,29,19
68,467,15/02/17-11:20,91,20,28,20
69,426,15/02/17-11:30,85,24,27,19
70,375,15/02/17-11:40,83,25,26,20
71,350,15/02/17-11:50,79,28,22,21
72,350,15/02/17-12:00,69,31,17,23
73,282,15/02/17-12:10,74,25,16,32
74,268,15/02/17-12:20,85,21,17,42
75,305,15/02/17-12:30,97,16,21,58
76,330,15/02/17-12:40,92,18,23,55
77,284,15/02/17-12:50,72,35,23,39
78,328,15/02/17-13:00,61,45,22,23
79,325,15/02/17-13:10,58,47,22,21
80,233,15/02/17-13:20,68,36,18,27
81,233,15/02/17-13:30,75,36,16,30
82,233,15/02/17-13:40,72,37,17,30
83,233,15/02/17-13:50,65,46,15,27
84,236,15/02/17-14:00,69,35,15,29
85,233,15/02/17-14:10,78,34,16,36
86,233,15/02/17-14:20,77,38,17,32
87,244,15/02/17-14:30,62,60,20,24
88,233,15/02/17-14:40,42,72,20,16
89,233,15/02/17-14:50,36,73,19,16
90,233,15/02/17-15:00,39,76,17,16
91,233,15/02/17-15:10,42,74,17,16
92,233,15/02/17-15:20,35,75,17,16
93,206,15/02/17-15:30,26,85,14,16
94,208,15/02/17-15:40,45,59,14,23
95,233,15/02/17-15:50,65,48,14,28
96,228,15/02/17-16:00,63,55,13,28
97,194,15/02/17-16:10,52,70,12,22
98,233,15/02/17-16:20,50,65,12,23
99,169,15/02/17-16:30,39,78,11,19
100,233,15/02/17-16:40,40,71,12,19
101,262,15/02/17-16:50,39,77,12,17
102,233,15/02/17-17:00,31,81,12,17
103,233,15/02/17-17:10,30,83,12,15
104,233,15/02/17-17:20,35,72,11,17
105,233,15/02/17-17:30,42,70,11,19
106,233,15/02/17-17:40,40,70,10,15
107,233,15/02/17-17:50,45,59,10,19
108,233,15/02/17-18:00,52,57,11,17
109,233,15/02/17-18:10,53,53,11,19
110,233,15/02/17-18:20,52,59,13,18
111,234,15/02/17-18:30,48,65,9,17
112,333,15/02/17-18:40,58,58,13,13
113,233,15/02/17-18:50,32,76,12,13
114,233,15/02/17-19:00,26,77,9,13
115,242,15/02/17-19:10,27,75,9,13
116,236,15/02/17-19:20,30,73,8,12
117,248,15/02/17-19:30,37,65,9,14
118,252,15/02/17-19:40,41,60,8,15
119,237,15/02/17-19:50,43,61,8,14
120,342,15/02/17-20:00,46,52,8,14
121,238,15/02/17-20:10,38,68,8,13
122,375,15/02/17-20:20,73,37,10,13
123,288,15/02/17-20:30,44,58,8,12
124,233,15/02/17-20:40,40,59,8,10
125,233,15/02/17-20:50,37,63,9,12
126,233,15/02/17-21:00,33,65,10,10
127,233,15/02/17-21:10,34,64,10,11
128,233,15/02/17-21:20,28,67,10,11
129,233,15/02/17-21:30,37,61,12,11
130,223,15/02/17-21:40,26,70,13,11
131,233,15/02/17-21:50,29,62,14,11
132,233,15/02/17-22:00,32,63,14,10
133,233,15/02/17-22:10,27,66,14,11
134,233,15/02/17-22:20,29,66,13,10
135,233,15/02/17-22:30,33,62,13,11
136,210,15/02/17-22:40,32,65,14,10
137,172,15/02/17-22:50,25,67,14,9
138,201,15/02/17-23:00,25,68,13,9
139,128,15/02/17-23:10,19,73,14,9
140,184,15/02/17-23:20,16,75,13,9
141,227,15/02/17-23:30,20,70,13,8
142,171,15/02/17-23:40,19,73,13,10
143,159,15/02/17-23:50,15,75,13,9
144,117,16/02/17-00:00,14,80,12,10
1,117,16/02/17-00:10,9,80,12,8
2,117,16/02/17-00:20,9,79,12,7
3,181,16/02/17-00:30,10,78,12,8
4,162,16/02/17-00:40,10,79,11,7
5,121,16/02/17-00:50,8,80,11,8
6,117,16/02/17-01:00,8,80,10,7
7,117,16/02/17-01:10,9,79,10,6
8,117,16/02/17-01:20,8,79,9,8
9,117,16/02/17-01:30,7,81,8,8
10,219,16/02/17-01:40,16,55,23,9
11,233,16/02/17-01:50,21,54,24,7
12,233,16/02/17-02:00,17,54,24,8
13,233,16/02/17-02:10,21,51,24,9
14,233,16/02/17-02:20,22,51,23,8
15,227,16/02/17-02:30,17,54,22,8
16,233,16/02/17-02:40,16,57,21,8
17,233,16/02/17-02:50,16,53,18,9
18,233,16/02/17-03:00,13,52,17,6
19,233,16/02/17-03:10,16,51,17,7
20,233,16/02/17-03:20,15,52,18,7
21,233,16/02/17-03:30,17,49,18,5
22,233,16/02/17-03:40,18,48,18,6
23,233,16/02/17-03:50,18,47,17,7
24,233,16/02/17-04:00,17,46,17,6
25,233,16/02/17-04:10,18,47,16,6
26,233,16/02/17-04:20,15,52,16,6
27,233,16/02/17-04:30,15,53,16,7
28,233,16/02/17-04:40,19,46,16,6
29,233,16/02/17-04:50,25,39,19,6
30,233,16/02/17-05:00,28,37,19,6
31,233,16/02/17-05:10,25,44,17,6
32,222,16/02/17-05:20,20,48,16,5
33,231,16/02/17-05:30,18,47,16,5
34,225,16/02/17-05:40,21,49,16,5
35,211,16/02/17-05:50,25,42,16,5
36,233,16/02/17-06:00,27,36,15,5
37,233,16/02/17-06:10,25,36,15,6
38,233,16/02/17-06:20,31,28,15,6
39,233,16/02/17-06:30,40,21,15,6
40,259,16/02/17-06:40,52,12,16,7
41,350,16/02/17-06:50,57,7,20,9
42,330,16/02/17-07:00,63,6,21,8
43,287,16/02/17-07:10,63,8,21,7
44,408,16/02/17-07:20,62,8,22,6
45,406,16/02/17-07:30,71,5,24,8
46,342,16/02/17-07:40,77,5,23,9
47,360,16/02/17-07:50,79,6,25,9
48,350,16/02/17-08:00,79,6,25,9
49,445,16/02/17-08:10,80,5,27,11
50,561,16/02/17-08:20,86,6,29,12
51,640,16/02/17-08:30,102,7,32,14
52,817,16/02/17-08:40,110,7,37,14
53,788,16/02/17-08:50,112,7,39,18
54,811,16/02/17-09:00,125,6,39,19
55,695,16/02/17-09:10,101,8,40,16
56,595,16/02/17-09:20,92,7,36,14
57,583,16/02/17-09:30,85,10,32,14
58,583,16/02/17-09:40,89,10,36,15
59,524,16/02/17-09:50,96,8,39,15
60,499,16/02/17-10:00,89,10,39,14
61,554,16/02/17-10:10,86,12,39,15
62,379,16/02/17-10:20,65,22,32,11
63,262,16/02/17-10:30,47,35,24,11
64,233,16/02/17-10:40,47,37,22,11
65,250,16/02/17-10:50,51,38,22,11
66,326,16/02/17-11:00,57,31,27,9
67,350,16/02/17-11:10,65,31,34,9
68,350,16/02/17-11:20,74,25,35,17
69,350,16/02/17-11:30,95,15,27,37
70,336,16/02/17-11:40,89,19,21,43
71,354,16/02/17-11:50,76,24,19,27
72,329,16/02/17-12:00,80,22,20,32
73,290,16/02/17-12:10,84,20,21,41
74,267,16/02/17-12:20,72,31,24,19
75,241,16/02/17-12:30,68,36,25,16
76,247,16/02/17-12:40,60,45,26,13
77,237,16/02/17-12:50,63,44,27,15
78,261,16/02/17-13:00,59,53,24,13
79,233,16/02/17-13:10,53,58,23,10
80,282,16/02/17-13:20,51,62,24,11
81,246,16/02/17-13:30,37,75,18,9
82,233,16/02/17-13:40,28,80,15,7
83,240,16/02/17-13:50,28,84,16,6
84,233,16/02/17-14:00,28,80,21,6
85,233,16/02/17-14:10,32,81,24,6
86,233,16/02/17-14:20,33,74,26,6
87,233,16/02/17-14:30,39,69,20,7
88,233,16/02/17-14:40,35,77,18,7
89,233,16/02/17-14:50,27,82,16,5
90,233,16/02/17-15:00,29,80,16,7
91,233,16/02/17-15:10,53,52,19,15
92,233,16/02/17-15:20,60,61,27,16
93,233,16/02/17-15:30,45,76,26,11
94,209,16/02/17-15:40,38,79,24,9
95,203,16/02/17-15:50,35,75,21,9
96,233,16/02/17-16:00,34,79,23,8
97,246,16/02/17-16:10,40,71,23,8
98,233,16/02/17-16:20,44,74,23,11
99,223,16/02/17-16:30,39,78,22,10
100,198,16/02/17-16:40,33,73,21,8
101,209,16/02/17-16:50,47,68,21,9
102,207,16/02/17-17:00,43,70,21,10
103,168,16/02/17-17:10,44,66,21,9
104,233,16/02/17-17:20,48,68,22,8
105,233,16/02/17-17:30,43,71,20,6
106,233,16/02/17-17:40,50,65,19,7
107,222,16/02/17-17:50,52,61,22,7
108,233,16/02/17-18:00,52,57,27,9
109,314,16/02/17-18:10,64,39,31,15
110,375,16/02/17-18:20,77,33,33,13
111,340,16/02/17-18:30,75,36,36,12
112,408,16/02/17-18:40,76,29,37,10
113,334,16/02/17-18:50,78,26,39,7
114,367,16/02/17-19:00,84,22,41,6
115,326,16/02/17-19:10,77,30,39,5
116,415,16/02/17-19:20,88,13,42,7
117,439,16/02/17-19:30,100,10,44,10
118,350,16/02/17-19:40,92,13,43,8
119,462,16/02/17-19:50,102,6,43,12
120,467,16/02/17-20:00,109,7,51,13
121,397,16/02/17-20:10,98,16,47,9
122,410,16/02/17-20:20,93,11,45,7
123,454,16/02/17-20:30,105,9,48,7
124,425,16/02/17-20:40,93,14,47,7
125,394,16/02/17-20:50,97,13,43,7
126,357,16/02/17-21:00,72,26,39,6
127,417,16/02/17-21:10,79,17,42,6
128,420,16/02/17-21:20,76,16,42,6
129,391,16/02/17-21:30,75,18,43,6
130,350,16/02/17-21:40,66,25,41,5
131,350,16/02/17-21:50,66,19,41,5
132,350,16/02/17-22:00,67,19,41,6
133,359,16/02/17-22:10,69,15,42,5
134,485,16/02/17-22:20,76,11,45,5
135,583,16/02/17-22:30,83,5,54,4
136,574,16/02/17-22:40,80,6,54,3
137,613,16/02/17-22:50,81,6,60,2
138,533,16/02/17-23:00,76,6,58,3
139,583,16/02/17-23:10,81,6,57,3
140,583,16/02/17-23:20,82,5,57,3
141,583,16/02/17-23:30,74,6,60,1
142,583,16/02/17-23:40,72,5,57,3
143,583,16/02/17-23:50,70,5,54,3
144,532,17/02/17-00:00,69,5,53,3
1,495,17/02/17-00:10,67,7,53,4
2,504,17/02/17-00:20,64,6,54,3
3,485,17/02/17-00:30,65,5,51,1
4,467,17/02/17-00:40,63,4,50,2
5,454,17/02/17-00:50,61,7,47,2
6,431,17/02/17-01:00,54,11,43,1
7,350,17/02/17-01:10,48,15,39,3
8,350,17/02/17-01:20,44,18,37,1
9,332,17/02/17-01:30,38,24,32,2
10,303,17/02/17-01:40,36,22,32,2
11,233,17/02/17-01:50,33,27,30,1
12,233,17/02/17-02:00,30,27,28,1
13,233,17/02/17-02:10,26,31,27,1
14,233,17/02/17-02:20,21,32,27,1
